,moderately_negative,neutral,very_negative,positive
a,211,874,631,55
o,107,598,372,36
t,122,466,353,35
e,81,401,403,36
n,84,470,303,33
i,102,410,343,34
k,78,488,261,29
s,81,406,257,34
d,73,346,216,25
l,69,332,221,22
u,56,243,238,18
m,81,255,190,26
b,50,222,168,13
r,35,270,101,13
p,52,213,136,17
j,49,213,134,15
ɾ,42,143,122,8
v,21,191,77,15
ə,57,134,65,16
ʃ,28,163,67,6
ɡ,17,152,75,6
z,25,112,56,6
x,21,92,67,7
f,30,72,51,7
ɛ,33,37,66,10
ʀ,39,38,61,8
ɒ,11,113,16,3
ɐ,21,49,40,3
ʒ,19,44,35,6
ɯ,20,13,67,0
y,8,27,49,1
h,12,52,17,2
ɨ,8,39,23,0
ɕ,10,33,23,1
ʂ,11,32,18,0
ɔ,9,27,12,5
w,4,28,15,1
ɖ,3,44,0,1
ɑ,13,6,22,1
œ,1,10,22,2
ʈ,5,22,5,0
ɰ,7,6,15,2
ɣ,3,18,5,0
ɽ,0,24,1,1
ʝ,1,14,8,1
ŋ,6,10,7,0
ɦ,0,12,0,2
ʁ,2,7,3,0
ʔ,1,9,1,1
ɲ,1,7,2,0
ʎ,0,4,4,0
ɥ,2,2,3,0
ɻ,1,4,1,0
æ,0,3,0,0
ø,1,0,0,1
