Phoneme,CorrelationWithValence,SoundClass
i,-0.3856156067225617,vowel
o,-0.33754841464067536,vowel
m,-0.2858872454606898,nasal
s,-0.2744134174359173,fricative
p,-0.25446579107810624,plosive
ŋ,-0.11055025058786673,nasal
k,-0.09545904401612833,plosive
ɕ,-0.0799052944525368,fricative
ʈ,-0.06642812849208836,plosive
ʂ,-0.06642812849208836,fricative
e,-0.007041634977337439,vowel
ɻ,-0.004838900798101014,approximant
a,0.024841062694478687,vowel
n,0.09047558085615132,nasal
t,0.10499753872161768,plosive
u,0.34125495782117926,vowel
x,0.5009821669925759,fricative
